X	Y	id	T	genotype	slab_lane	replica	time	humidity	ambient_temp	food	rearing_Temp	Age	exp_date	TempEst
302	1190	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.014706978868006
294	1212	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	17.974558641025176
308	1212	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.03715405629342
300	1210	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.001783386579447
310	1206	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.047290675506815
318	1200	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.08425390126374
316	1194	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.07650611611478
298	1238	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	17.987267238247934
298	1244	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	17.98607282121572
314	1248	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.05681416064367
328	1250	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.11901143690118
338	1256	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.162528030774855
340	1238	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.175053484052675
352	1230	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.2302992531827
354	1216	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.242028428439042
330	1188	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.14029594841524
354	1188	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.247602374589377
378	1206	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.35132554966687
388	1218	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.393647726508334
372	1214	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.322906387080383
386	1246	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.37913157817682
382	1256	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.359256478760777
404	1192	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.470361151097354
414	1218	re17_gfr	NA	rif_treated	1	h	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.50989635486365
